NAME,OVR,POT
Saturnin Allagbé,71,75
Julien Dacosta,65,72
Issouf Paro,67,71
Matthieu Sans,65,65
Florian Lapis,62,63
Dylan Louiserre,67,71
Olivier Kemen,69,77
Thibaut Vion,65,66
Goduine Koyalipou,66,77
Valentin Jacob,70,74
Ibrahim Sissoko,70,76
Antoine Leautey,65,71
Yacine Bourhane,63,71
Darlin Yongwa,60,74
Guy-Marcelin Kilama,59,69
Quentin BraatL,64,73
Zoumana Koné,59,59
David Djigla,63,65
Enzo Pauchet,58,65
Brahim Konaté,64,69
Louis Ameka Autchanga,64,72
Antoine Baroan,61,72
Brahima Doukansy,59,71
Samuel Renel,56,72
Quentin Bena,63,70
Bryan Passi,65,74
Pedro Henrique,60,61
Ibrahima Conté,66,71
