NAME,OVR,POT
Kepa,81,84
Reece James,84,88
Thiago Silva,86,86
Kalidou Koulibaly,86,86
Cucurella,81,85
Denis ZakariaL,81,86
Mateo Kovačić,83,83
Hakim Ziyech,83,83
Mason Mount,83,86
Carney Chukwuemeka,64,84
Kai Havertz,83,89
João FélixL,83,89
Enzo Fernández,81,88
Benoît Badiashile,77,85
Trevoh Chalobah,76,81
Marcus Bettinelli,70,71
Mykhailo Mudryk,75,85
Lewis Hall,61,79
Azpilicueta,81,81
Pierre-Emerick Aubameyang,83,83
Noni Madueke,77,86
Ruben Loftus-Cheek,77,78
Conor Gallagher,78,85
Raheem Sterling,85,85
Christian Pulisic,81,87
Édouard Mendy,85,86
David Datro Fofana,68,83
Wesley Fofana,79,86
N'Golo Kanté,88,88
Ben Chilwell,82,85
Armando Broja,75,83
Omari Hutchinson,64,81
