NAME,OVR,POT
Tommy Lee,64,68
Drew Talbot,60,64
Sam Hird,60,64
Liam Cooper,62,67
Nathan Smith,60,61
Mark Randall,60,65
Sam Togwell,61,61
Tendayi Darikwa,60,73
Jay O'Shea,61,68
Marc Richards,64,64
Armand Gnanduillet,58,63
Cameron Mason,48,52
Jack Broadhead,49,59
Jacob Hazel,52,60
Joshua Scully,49,54
Richard Brindley,55,58
Neal Trotman,61,64
Danny Whitaker,62,62
Jack Waddle,50,65
Jonathan Wafula,50,60
Tim Whittaker,49,57
Scott Boden,56,64
Richard O'Donnell,59,64
Josh Barrington,50,54
Conor Townsend,57,63
Alex Henshall,53,73
