NAME,OVR,POT
Simone Villanova,66,73
Andrea Manucci,65,70
Gianluca Nocentini,64,66
Daniele Gasparetto,66,70
Alberto Marchesan,67,73
Thomas Hervé Job Iyock,68,77
Daniele Dalla Bona,67,76
Davide Carteri,66,71
Tommaso Bellazzini,70,78
Manolo Gabbiadini,66,79
Federico Piovaccari,61,67
Andrea Pierobon,61,64
Edoardo Gorini,55,60
Francesco Scardina,65,70
Fabio Giordano,57,61
Roberto Musso,64,71
Raffaele Perna,60,69
Joachim De Gasperi,63,68
Matteo Teoldi,64,70
Gennaro Volpe,64,71
José Luis Colman,64,69
Nunzio Di Roberto,55,68
Daniel Semenzato,56,71
Julian Magallanes,59,71
Gioele Cucinato,49,71
Riccardo Martignago,43,73
Nicola Vaccari,40,70
Alexis Carra,52,71
Christopher Zanvettori,45,71
