NAME,OVR,POT
Guillermo Ochoa,79,87
Miguel Arturo Layún,67,74
Juan Carlos Valenzuela,70,77
Aquivaldo Mosquera,74,78
Óscar Rojas,72,78
Pável Pardo,74,83
Rosinei,72,78
Enrique Esqueda,70,76
Vicente Sánchez,76,81
Daniel Montenegro,75,80
Vicente Matías Vuoso,72,77
Armando Navarrete,68,71
Juan Carlos Silva,69,75
José Joaquín Martínez,66,74
Patricio Treviño,66,75
Luis Alonso Sandoval,68,74
Israel Martínez,68,76
Jesús Armando Sánchez,66,69
Ángel Reyna,72,76
Daniel Márquez,67,75
Ismael Rodríguez,68,73
Tony López,67,75
Guillermo Cerda,67,74
George Corral,61,78
Leonin Pineda,55,72
Arnhold Rivas,67,79
Renato González,62,67
Michel Gibrant García,61,69
Isaac Acuña,58,73
Diego Cervantes,67,75
Diego Antonio Reyes,61,76
Hugo González,56,67
Luis Ernesto Olascoaga,58,69
Ademar Rodríguez,60,75
Jorge Alberto Urias,57,69
