NAME,OVR,POT
Rodolfo Cota,75,75
Fernando Navarro,73,73
Ignacio González,68,68
Stiven Barreiro,72,73
William Tesillo,73,73
Pedro Aquino,73,80
Jean Meneses,72,72
Ángel Mena,76,76
Yairo Moreno,70,73
Luis Montes,75,75
Armando León,58,70
Joel CampbellL,74,74
Ismael SosaL,73,73
Ramiro González,69,69
Gil Burón,63,67
Guillermo Pozos,58,62
José Rodríguez,73,79
Miguel Herrera,68,68
Andrés Mosquera,73,73
Osvaldo Rodríguez,66,75
Iván Ochoa,67,75
Leonardo Ramos,72,72
Nicolás Sosa,64,69
Sebastián Fassi,59,64
Saúl Zamora,55,70
José de Jesús GodínezL,66,75
Jown Cardona,67,72
Josué Sánchez,59,64
Jesse Zamudio,58,69
Fidel Ambríz,58,76
