NAME,OVR,POT
Victor,79,79
Marcos Rocha,74,81
Leonardo Silva,77,77
Réver,80,83
Junior CesarL,72,72
Pierre,75,75
Josué,74,74
Diego Tardelli,77,79
Ronaldinho,82,82
Fernandinho,75,78
Jô,79,82
Giovanni,71,79
Emerson,70,70
Michel MacedoL,70,74
Leandro Donizete,72,72
Luan,72,78
Jesús Dátolo,73,73
Alecsandro,73,73
Bernard,80,86
Gilberto Silva,75,75
Richarlyson,73,73
Neto Berola,73,78
Guilherme,73,78
Rosinei,72,72
Rafael Marques,72,76
Lee,70,77
Carlos César,67,70
Jemerson,64,72
Lucas Cândido,63,75
Dodô,63,74
