NAME,OVR,POT
Felipe,73,87
Carlos Alberto,64,75
William,72,79
Chicão,69,80
André Santos,73,88
Elias,69,77
Fabinho,70,82
Morais,75,84
Douglas,73,85
Dentinho,70,88
Germán Herrera,71,79
Diogo Rincón,70,79
Júlio César,65,79
Lulinha,65,89
Fábio Ferreira,69,84
Eduardo Ramos,69,80
Alessandro,62,75
Lima,62,73
Bruno Octávio,62,80
Marcel,56,70
Perdigão,61,75
Alberto Acosta,71,78
Denis,56,77
Marcelo Oliveira,65,87
Otacílio Neto,67,69
Nilton,61,74
Weverton,60,76
Rafinha,58,81
Caju,65,85
Wellington Saci,63,79
Careca,62,77
Alves,61,77
Renato,62,77
Cássio,46,67
Bebeto,60,72
