NAME,OVR,POT
Édson Bastos,69,69
Maurício,67,77
Bernardi,61,73
Nenê,65,69
Rodrigo Mancha,69,70
Leandro Donizete,66,66
Pedro Ken,68,72
Marlos,66,68
Carlinhos Paraíba,72,75
Keirrison,77,81
Nahuelpan,72,75
Douglas Silva,64,66
Henrique Dias,69,75
Jaílson,67,72
Vanderlei,52,55
Cadú,64,68
Rubens Cardoso,68,78
Hugo,66,70
Dinélson,64,80
Ricardinho,66,69
Evaldo,66,68
Thiago Silvy,61,64
Alex Silva,57,65
Marcos Tamandaré,61,64
Wanderson,45,59
Felipe,68,69
Alê,62,66
Guarú,58,64
Rodrigo,64,69
João Henrique,63,67
