NAME,OVR,POT
Keiren Westwood,70,75
Stephen Wright,63,75
Elliott Ward,67,70
Ben Turner,60,70
Patrick van Aanholt,62,70
David Bell,62,65
Sammy Clingan,67,72
Aron Gunnarsson,67,80
Michael McIndoe,67,70
Clinton Morrison,69,75
Leon Best,64,75
Marcus Hall,62,70
Dimitrios Konstantopoulos,57,65
Isaac Osbourne,61,70
Jack Cork,64,70
Freddy Eastwood,65,75
Leon McKenzie,63,70
James McPake,61,65
Martin Cranie,66,78
Adam Walker,44,65
Danny Ireland,47,52
Jordan Clarke,45,70
Curtis Wynter,49,65
Ashley Cain,48,60
Jermaine Grandison,46,60
