NAME,OVR,POT
Grzegorz Sandomierski,64,65
Deleu,64,64
Hubert Wołąkiewicz,62,62
Piotr Polczak,67,67
Jakub Wójcicki,67,67
Damian Dąbrowski,68,74
Marcin Budziński,66,68
Erik Jendrišek,66,66
Bartosz Kapustka,69,82
Mateusz Cetnarski,69,69
Boubacar Diabang,66,66
Anton Karachanakov,59,65
Łukasz Zejdler,58,63
Hubert Adamczyk,55,69
Florin Bejan,60,64
Krystian Stępniowski,54,58
Tomáš Vestenický,61,71
Mateusz Wdowiak,58,66
Miroslav Čovilo,67,67
Paweł Jaroszyński,60,67
Krzysztof Szewczyk,53,59
Dariusz Zjawiński,58,58
Damian Drzewiecki,55,60
Przemysław Pyrdek,54,66
Szymon Kiebzak,51,63
Mateusz Argasiński,47,55
Adam Wilk,51,64
