NAME,OVR,POT
José de Jesús Corona,75,75
Omar Mendoza,64,65
Julio César Domínguez,73,73
Francisco Rodríguez,73,73
Ariel Rojas,72,72
Aldo Leão RamírezL,74,74
Rafael Baca,70,71
Joao Rojas,70,71
Christian Giménez,70,70
Víctor Vázquez,76,76
Jorge Benítez,71,76
Gerardo Torrado,67,67
Kevyn Montaño,58,66
Fábio Santos,72,72
Richard Ruíz,67,67
Guillermo Allison,64,68
Joffre Guerrón,71,71
Matías Vuoso,68,68
Marc Crosas,70,70
Rogelio Chávez,67,67
Fausto Pinto,66,66
Manuel Madrid,63,68
Silvio Borjas,61,63
Juan Carlos García Sancho,60,68
Alejandro Peláez,59,66
Juan Diego González,58,60
Víctor Zúñiga,57,67
Rosario Cota,56,66
