NAME,OVR,POT
Wayne Hennessey,74,74
Joel Ward,76,78
Scott Dann,78,78
Damien Delaney,74,74
Pape Souaré,75,77
James McArthur,76,76
Yohan Cabaye,80,80
Wilfried Zaha,78,81
Yannick Bolasie,77,78
Jason Puncheon,75,75
Connor Wickham,73,78
Mile Jedinák,76,76
Joe Ledley,74,74
Martin Kelly,74,76
Adrian Mariappa,71,71
Julián Speroni,76,76
Dwight Gayle,71,75
Bakary Sako,75,75
Emmanuel Adebayor,78,78
Marouane Chamakh,74,74
Fraizer Campbell,71,71
Jordon Mutch,71,74
Alex McCarthy,75,77
Lee Chung Yong,72,72
Patrick McCarthy,67,67
Luke Croll,54,65
Ezekiel Fryers,65,71
Chris Kettings,59,65
Connor Dymond,55,65
Kwesi Appiah,65,67
Keshi Anderson,64,74
Reise Allassani,56,68
Aaron Bissaka,57,73
