NAME,OVR,POT
Jorge Deschamps,65,65
Yerson Opazo,63,63
Franco Bechtholdt,67,70
Diego Díaz,67,67
Felipe SaavedraL,61,69
Carlos Espinosa,66,66
Martín Cortés,64,64
Carlos Cisternas,62,62
Matias Cavalleri,65,75
Mauro Quiroga,70,70
Héber García,61,68
Sebastián Jaime,67,67
Daniel Franco,63,65
Kennet Lara,61,73
Jens Buss,60,67
Luis Santelices,64,64
Diego VallejosL,67,67
Carlos Suárez,63,66
Gabriel Vargas,65,65
Neri Bandiera,64,64
Gonzalo Bustamante,68,68
Byron Hernández,50,64
Diego Urzúa,61,72
Mario Parra,65,70
Matías Ormazábal,52,64
Carlos Herrera,55,78
Diego Tapia,57,64
