NAME,OVR,POT
Yves De Winter,68,72
Muslu Nalbantoglu,65,66
Jan-Paul Saeijs,63,63
Vito Wormgoor,66,72
Purrel Fränkel,63,63
Rogier Meijer,65,65
Michael de Leeuw,68,70
Yuri Rose,63,63
Ziguy BadibangaL,64,72
Rydell Poepon,69,73
Nenad Srećković,67,70
Joost Terol,64,65
Ted van de Pavert,65,72
Ties Evers,65,72
Gregor Breinburg,63,70
Anco Jansen,63,68
Lion Kaak,62,66
Soufian El Hassnaoui,65,69
Jordy van de Kracht,59,65
Gil VermouthL,69,71
Jochem Jansen,60,64
Jussi Kujala,63,65
Jordan Garcia-CalveteL,60,70
Xhelil Abdulla,60,68
Caner Cavlan,58,64
Piotr Parzyszek,59,72
Dean Koolhof,55,65
