NAME,OVR,POT
Sebastián Pérez,66,67
Matías Blázquez,64,65
Alejandro Contreras,68,70
Lucas Aveldaño,69,69
Felipe Saavedra,61,69
Sebastián Zúñiga,64,64
Diego Orellana,61,63
Rafael Caroca,71,71
Gustavo Lorenzetti,69,69
Álvaro Ramos,69,69
Matías Donoso,68,68
Ricardo Blanco,68,68
Hans Salinas,66,66
Fabián Ramos,57,60
Franz Schultz,69,69
Julio Borquez,53,70
Jesús Hernández,65,65
César Huanca,58,72
Michael Fuentes,57,69
Mauricio Zenteno,67,67
Misael Cubillos,62,67
Diego Fernández,60,67
Johan Castillo,56,70
Arturo Guerrero,54,71
Luis Sotomayor,61,70
Abel Hidalgo,55,68
Michael Jordan Contreras,60,61
