NAME,OVR,POT
Leonardo Burián,67,67
Henry Obando,60,68
Jhon Valencia,66,66
Dávinson Monsalve,67,67
Breyner Bonilla,64,64
Omar Albornoz,49,60
Yimmi Chará,68,74
Jhon Hurtado,66,66
Juan Mahecha,66,68
Wilmar Barrios,64,70
Héctor Acuña,65,65
Jáner Serpa,64,64
Wilfrido de la Rosa,54,60
Andrés Ibargüen,53,59
Danovis Banguero,65,69
Nicolás Palacios,64,69
Yulían MejíaL,69,76
David Silva,69,70
Charles Monsalvo,68,72
Félix Noguera,68,70
Luis Estacio,68,68
Marco Pérez,65,68
Julián QuiñónesL,64,68
Didier Delgado,64,69
César AmayaL,63,67
Fredy Machado,63,64
William Arias,61,68
Robinson Aponzá,60,63
