NAME,OVR,POT
Eduardo Lobos,67,67
Miguel Coronado,61,64
Augusto Barrios,65,71
Carlos Labrín,66,71
Claudio Jopia,62,69
Gabriel Sandoval,64,64
Sebastián Rivera,64,67
Emilio Rentería,64,64
Renato González,68,73
Kevin Harbottle,65,72
Leonardo Javier Ramos,63,67
Pablo González,66,66
Santiago Dittborn,62,69
Washington Torres,62,62
Diego Oyarzún,60,69
Pedro Carrizo,69,69
Nicolás Medina,63,63
Oscar Salinas,63,68
Gustavo Oberman,66,66
Cristián Neculñir,57,67
Romano,64,66
Jaime Grondona,64,64
Christopher Singer,58,68
Zacarías López,53,66
Juan Carlos Oviedo,55,66
Sebastian Fernández,55,65
Edgardo López,53,66
José Durán,51,67
