NAME,OVR,POT
Stephen Bywater,69,78
Paul Connolly,66,73
Shaun Barker,66,72
Miles Addison,68,74
James McEveley,64,76
Lee Croft,67,80
Paul Green,67,72
Robbie Savage,66,80
Gary Teale,67,75
Kris Commons,73,76
Rob Hulse,71,76
Saul Deeney,45,57
Paul Dickov,63,75
Dean Leacock,65,75
Jake Buxton,53,59
Giles Barnes,68,76
Chris Porter,71,76
Stephen Pearson,67,75
Jordan Stewart,65,71
Steve Davies,63,76
Jason Beardsley,53,70
Mitchell Hanson,53,70
Ruben Zadkovich,58,70
Dean Moxey,55,67
Jake Livermore,67,77
Aleksandar Prijović,55,74
Ben Pringle,54,71
Arnaud Mendy,47,52
