NAME,OVR,POT
Dominik Livaković,81,86
Stefan Ristovski,75,75
Rasmus Lauritsen,72,77
Kévin Théophile-Catherine,73,73
Joško Gvardiol,73,87
Kristijan Jakić,71,77
Luka Ivanušec,73,81
Lovro Majer,76,84
Arijan Ademi,76,76
Mislav Oršić,77,77
Bruno Petković,77,80
Mario Gavranović,71,71
Lirim Kastrati,69,77
Josip Mišić,72,74
Iyayi Atiemwen,69,72
Danijel Zagorac,67,67
Petar Stojanović,71,74
Dino Perić,71,72
Bartol Franjic,68,77
Marko Tolić,71,76
Marin Leovac,69,69
Marijan Čabraja,68,73
Renato Josipović,60,77
Sadegh Moharrami,70,74
Robbie Burton,63,76
Ivan Šaranić,62,84
Izet Hajrović,68,68
Stefan Milić,65,73
