NAME,OVR,POT
Marvin SchwäbeL,69,80
Niklas Kreuzer,67,73
Jannik Müller,66,76
Florian Ballas,68,73
Philip Heise,68,71
Marco Hartmann,70,70
Niklas Hauptmann,66,80
Andreas Lambertz,69,69
Akaki GogiaL,69,72
Stefan KutschkeL,70,70
Marvin Stefaniak,69,80
Manuel Konrad,67,67
Aias Aosman,67,73
Giuliano Modica,68,71
Fabian Müller,66,66
Patrick Wiegers,65,66
Pascal Testroet,68,71
Erich Berko,67,74
Hendrik Starostzik,64,68
Marcos Alvarez,63,66
Marc Wachs,63,72
Nils Teixeira,69,70
Marcel Hilßner,61,70
Niklas Landgraf,56,70
Markus Schubert,58,78
Jean-Francois Kornetzky,59,59
Robin Fluß,54,66
Noah Awassi,55,71
