NAME,OVR,POT
Davide Bassi,62,70
Felice Piccolo,64,75
Jorge Vargas,68,72
Lino Marzoratti,68,74
Ighli Vannucchi,76,82
Antonio Buscè,69,71
Francesco Marianini,60,66
Davide Moro,70,74
Francesco Lodi,73,84
Claudio Coralli,64,66
Luca Saudati,66,71
Daniele Corvia,67,74
Nicola Pozzi,73,82
Renato Dossena,60,63
Gianluca Musacci,52,60
Gabriele Angella,56,61
Vittorio Tosto,65,74
Andrea Cupi,63,66
Adam Kokoszka,58,70
Levan Mchedlidze,55,71
Mirko Valdifiori,60,63
Alessandro Vinci,55,61
Matteo Negrini,57,61
Pietro Arcidiacono,59,66
Cristian Pasquato,63,78
Salvatore Caturano,59,63
Gianluigi Bianco,58,72
