NAME,OVR,POT
Mamadou Samassa,68,72
Jonathan Martins Pereira,67,68
Christophe Kerbrat,71,74
Jérémy Sorbon,70,70
Dorian Lévêque,62,65
Claudio Beauvue,68,71
Lionel Mathis,65,65
Younousse Sankharé,69,76
Thibault Giresse,71,71
Christophe Mandanne,65,65
Mustapha Yatabaré,75,75
Guy-Roland Ndy Assembe,70,72
Reynald Lemaître,68,68
Baïssama Sankoh,60,70
Steeven Langil,66,70
Mustapha Diallo,66,67
Fatih Atik,66,66
Rachid Alioui,62,67
Mana Dembélé,66,70
Laurent Dos Santos,56,63
Grégory Cerdan,65,65
Ladislas Douniama,70,72
Vivian,66,66
Hugo Guichard,56,65
Paul Babiloni,57,63
Arthur Delalande,56,69
Julien Bègue,58,65
