NAME,OVR,POT
Jefferson Martínez,65,73
Cristian Arrieta,69,79
Jefferson Gómez,64,76
Jorge Segura,57,72
Yonatan Murillo,68,74
Juan Mosquera,59,73
Brayan RoviraL,57,72
Duván Vergara,64,76
Yairo MorenoL,66,76
Cristian Arango,67,75
Michael Gómez,56,72
Ray VanegasL,65,70
George Saunders,61,62
Michael López,60,72
Iván Rojas,57,73
Bréiner Castillo,68,68
Diego Gregori,64,74
Andrés Orozco,68,68
Álvaro Hungría,65,68
Ramón García,54,69
Santiago Jiménez,51,69
Miguel Pérez,62,68
Juan Jiménez,53,67
Nicolás Rubio,66,75
Otto Franco,62,70
Jonathan Caicedo,57,68
Santiago Ruiz,55,71
Mateo Cardona,62,75
