NAME,OVR,POT
Tim Howard,82,86
Phil Neville,78,79
Phil Jagielka,80,86
Sylvain Distin,76,78
Leighton Baines,78,83
Leon Osman,76,79
Mikel Arteta,82,84
Marouane Fellaini,81,87
Steven Pienaar,79,84
Tim Cahill,80,85
Louis Saha,80,86
Ján Mucha,74,77
Jack Rodwell,77,86
John Heitinga,80,83
Jermaine Beckford,74,78
Diniyar Bilyaletdinov,76,80
Tony Hibbert,72,74
Magaye Gueye,72,81
Séamus Coleman,73,77
James Vaughan,73,80
Victor Anichebe,72,82
Yakubu,77,84
João Silva,65,74
Shane Duffy,67,78
José Baxter,69,83
Hope Akpan,63,77
James Wallace,67,76
Shkodran Mustafi,65,81
Jake Bidwell,59,78
Aristote Nsiala,60,77
Luke Garbutt,59,77
Kieran Agard,65,75
Kenny Oluwafemi Orenuga,58,77
Nathan Craig,57,76
Adam Forshaw,63,75
