NAME,OVR,POT
Christy Pym,65,70
Pierce Sweeney,63,66
Dara O'SheaL,63,73
Dean Moxey,64,64
Craig Woodman,62,62
Jake Taylor,63,63
Archie Collins,60,72
Lee Holmes,64,64
Nicky Law,65,65
Matt Jay,58,64
Ryan Bowman,64,64
Randell Williams,64,72
Lee Martin,64,64
Hiram Boateng,63,68
Aaron Martin,64,64
James Hamon,56,62
Donovan WilsonL,62,72
Kane WilsonL,62,74
Jimmy Oates,60,60
Troy Brown,64,64
Joel Randall,53,66
Alex Hartridge,55,68
Luke Croll,61,65
Felix Norman,52,67
Joe Belsten,53,67
Chris Weale,56,56
Jaden BrownL,59,75
James Dodd,53,66
