NAME,OVR,POT
Thomas Kaminski,69,76
Peter AnkersenL,71,73
Mathias Jørgensen,72,74
Erik Johansson,71,72
Tom Høgli,69,69
Benjamin Verbič,70,79
Aboubakar Keita,49,65
Youssef Toutouh,67,72
Bashkim Kadrii,67,71
Andreas Cornelius,70,74
Nicolai Jørgensen,75,79
Thomas Delaney,73,77
Mikael Antonsson,72,72
Ludwig Augustinsson,71,80
Marcus Mathisen,53,66
Stephan Andersen,72,72
Federico Santander,71,75
Kasper Kusk,72,78
Robin Olsen,71,73
Per Nilsson,70,70
William Kvist,67,67
Frederik Bay,53,65
Danny Amankwaa,65,72
Kim Christensen,64,64
Joel Rasmus Felix,48,63
Julian Kristoffersen,50,64
