NAME,OVR,POT
Carlos Cáceda,71,71
Eduardo Rabanal,61,65
Alec Deneumostier,66,75
Pablo Míguez,61,61
Carlos Neyra,65,69
Joel Amoroso,66,66
Alexis Arias,64,71
Edson Aubert,70,70
Joel Sánchez,65,65
Othoniel Arce,63,63
Írven Ávila,66,66
Johnny Vidales,65,65
Jesús Pretell,67,82
Omar Tejeda,58,58
Paolo Fuentes,62,67
Anyelo Campos,64,68
Hideyoshi Arakaki,62,68
Leonardo Mifflin,63,69
Walter Tandazo,62,71
Jeremy Salas,63,68
Daniel Cabrera,58,63
Hernán Hinostroza,64,67
Hernán Pellerano,65,65
Jorge Cabezudo,57,68
Emilio Saba,60,71
Diego Rodríguez,57,70
Ricardo Bettocchi,57,69
Pedro Ibáñez,57,67
Michel Rasmussen,60,66
