NAME,OVR,POT
Ignacio De Arruabarrena,69,74
Tiago EsgaioL,70,71
João Basso,73,78
Jerome Opoku,66,72
Mateus Quaresma,69,72
Ismaila SoroL,67,73
Arsénio,71,71
Alan Ruiz,72,72
David Simão,70,70
Antony,68,83
Oday Dabbagh,69,74
Morlaye Sylla,68,72
Oriol Busquets,66,71
Nino Galović,67,67
Bogdan Milovanov,67,74
Thiago Rodrigues,68,73
Rafa Mújica,67,74
Benji Michel,64,67
Pedro Moreira,68,68
Yusuf Lawal,68,73
José Manuel Velázquez,67,67
João Valido,65,72
Vitinho,65,73
Weverson,65,73
Yaw Moses,63,70
Bruno Marques,62,71
Rafael Fernandes,61,72
