NAME,OVR,POT
José Suarez,61,70
Patric,64,71
Sergi Juste,63,68
Edgar Ié,66,75
Grimaldo,68,82
Sergi Samper,67,79
Alen Halilović,70,84
Gerard,64,77
Adama,70,82
Jean-Marie Dongou Tsafack,65,77
Sandro,69,81
Cámara,64,70
David Babunski,61,72
Frank Bagnack,65,74
Diawandou Diagne,62,72
Fabrice Ondoa,60,78
Joan Román,66,72
BichoL,61,77
Lucas Gafarot,61,73
Robert Costa,61,73
Pol Calvet,61,74
Sergi Palencia,62,78
Maximiliano Rolón,59,65
Campins,59,70
Wilfrid Jaures Kaptoum,58,74
Quinti,59,76
Moha,59,71
Adrián Ortolá,63,74
