NAME,OVR,POT
Heinz Lindner,75,75
Michael Lang,71,71
Fabian Frei,72,72
Andy PelmardL,71,83
Noah KatterbachL,70,80
Pajtim Kasami,73,73
Taulant Xhaka,71,71
Dan Ndoye,69,78
Liam Millar,66,77
Sebastiano EspositoL,70,87
Fedor Chalov,73,77
Gregori Szalai,71,71
Tomás TavaresL,73,82
Strahinja PavlovićL,69,80
Sergio López,67,75
Felix Gebhardt,52,65
Matías Palacios,67,83
Raoul Petretta,72,76
Wouter Burger,66,77
Joelson Augusto Mendes MangoL,68,84
Albian Hajdari,59,79
Darian MalesL,63,78
Andrea Padula,57,59
Tope Djiga,55,75
Sebastião Luvumbo Nikolić,63,67
