NAME,OVR,POT
Alex Cordaz,72,72
Koffi DjidjiL,71,72
Lisandro MagallánL,72,73
Vladimir Golemić,65,65
Ahmad Benali,71,71
Salvatore Molina,67,67
Junior Messias,71,71
Niccolò Zanellato,61,71
Arkadiusz RecaL,70,73
Adam OunasL,74,78
Simy,72,72
Jacopo Petriccione,69,72
Pedro PereiraL,69,77
Andrea Rispoli,72,72
Sebastiano LupertoL,71,79
Marco Festa,62,62
Samuel Di CarmineL,72,72
Luca Cigarini,72,72
Luca Marrone,70,70
Milos Vulic,69,74
Antonio Mazzotta,68,68
Eduardo HenriqueL,71,74
Emmanuel Rivière,67,67
Giuseppe Cuomo,58,69
Gian Marco Crespi,49,64
Luis Rojas,57,74
Denis DrăgușL,65,74
Aristóteles Romero,62,64
