NAME,OVR,POT
Jesse Gonzalez,67,77
Reggie Cannon,68,80
Matt Hedges,74,74
Reto Ziegler,70,70
Marquinhos Pedroso,69,74
Victor Ulloa,69,70
Carlos Gruezo,72,79
Michael Barrios,73,73
Roland Lamah,72,72
Pablo Aránguiz,72,81
Maximiliano Urruti,73,74
Santiago Mosquera,72,80
Jacori Hayes,64,72
Maynor Figueroa,67,67
Ryan Hollingshead,66,67
Jimmy Maurer,64,64
Dominique Badji,68,73
Cristian Colmán,67,73
Abel Aguilar,73,73
Tesho Akindele,66,67
Paxton Pomykal,63,78
Moises Hernandez,65,68
Brandon Servania,53,70
Jesus Ferreira,54,76
Kyle Zobeck,55,55
Kris Reaves,59,68
Jordan Cano,54,63
Bryan Reynolds,51,73
Thomas Roberts,56,75
