NAME,OVR,POT
Martin Männel,72,72
John-Patrick Strauß,68,69
Sören Gonther,69,69
Florian Ballas,68,70
Gaëtan Bussmann,68,68
Philipp Riese,70,70
Clemens Fandrich,69,69
Ben Zolinski,68,68
Florian Krüger,72,82
Dimitrij Nazarov,67,67
Pascal Testroet,71,71
Jan Hochscheidt,70,70
Calogero Rizzuto,67,67
Ognjen Gnjatić,67,67
Steve Breitkreuz,67,68
Philipp Klewin,67,71
Philipp Zulechner,66,66
Tom Baumgart,67,75
Erik Majetschak,60,73
Louis Samson,67,73
Malcolm Cacutalua,67,72
Fabian Kalig,65,67
Sascha Härtel,61,70
Niklas Jeck,57,75
Kevin Harr,57,70
Jean-Marie Plath,57,67
Antonio Jonjić,61,73
