NAME,OVR,POT
Gaëtan Poussin,68,76
Clément MichelinL,71,73
Stian Rode Gregersen,71,74
Yoann Barbet,71,71
Vital Nsimba,72,72
Junior Mwanga,65,78
Danylo Ignatenko,70,75
Issouf Sissokho,69,78
Dilane Bakwa,69,82
Josh Maja,71,77
Zuriko Davitashvili,67,77
Alexi Pitu,67,78
Tom Lacoux,68,78
Malcom Bokele,62,71
Johaneko Louis-Jean,62,79
Rafał Strączek,68,76
Aliou BadjiL,68,73
Logan Delaurier-Chaubet,66,83
Jacques Ekomié,65,78
Marvin De Lima,60,76
Lenny Pirringuel,57,74
Lucas Rocrou,56,67
Emeric Depussay,61,71
Tijany Atallah,57,74
Julien Vetro,56,76
Davy Rouyard,61,71
