NAME,OVR,POT
Markus Kolke,69,70
Max Reinthaler,63,67
Sven Sonnenberg,64,74
Julian Riedel,65,67
Nico Neidhart,65,70
Nils Butzen,64,65
Mirnes Pepić,66,73
Lukas Scherff,64,71
Aaron OpokuL,65,77
John Verhoek,65,65
Daniel HanslikL,64,72
Nikolas NarteyL,65,79
Nico GranatowskiL,65,65
Adam Straith,64,64
Nico Rieble,64,70
Alexander Sebald,60,69
Korbinian Vollmann,66,67
Rasmus PedersenL,63,72
Nik Omladič,67,67
Pascal Breier,65,65
Tanju Öztürk,63,63
Erik Engelhardt,60,69
Oliver Daedlow,54,69
Ben Voll,51,63
Michel Ulrich,57,67
Paul Wiese,53,70
