NAME,OVR,POT
Ramazan Özcan,73,73
Danny da Costa,69,75
Marvin Matip,76,76
Benjamin Hübner,74,75
Markus Suttner,71,71
Roger,74,74
Pascal Groß,75,78
Alfredo Morales,71,73
Moritz Hartmann,70,70
Dario Lezcano,71,73
Mathew Leckie,72,74
Almog Cohen,70,70
Max Christiansen,69,78
Romain Brégerie,72,72
Robert Bauer,66,73
Ørjan Nyland,73,75
Lukas Hinterseer,72,75
Stefan Lex,69,71
Maurice Multhaup,59,74
Danilo,72,77
Konstantin Engel,67,67
Thomas Blomeyer,57,67
Christian Ortag,58,67
Michael Zant,58,65
Tobias Levels,70,70
Elias Kachunga,69,73
Aloy Ihenacho,59,68
