NAME,OVR,POT
Andriy Dikan,76,76
Artur Jędrzejczyk,68,70
Ragnar Sigurðsson,71,71
Andreas Granqvist,77,77
Sergey Petrov,66,73
Odil Akhmedov,73,77
Ricardo Laborde,70,72
Mauricio Pereyra,69,74
Pavel Mamaev,73,77
Wanderson,75,75
Ari,75,75
Vladimir Bystrov,75,75
Andrey Batyutin,58,67
Alexandr Ageev,57,72
Vitaliy Kaleshin,69,69
Andrey Sinitsyn,73,75
Evgeniy Nesterenko,57,70
Maxim Starkov,55,61
Dmitriy Kuzmichev,54,67
Dmitriy Novak,54,67
Yuriy Gazinskiy,73,75
Joãozinho,78,81
Denis Kavlinov,56,68
Aleksandr Marchenko,51,67
Oleg Lanin,51,66
Alyaksandr Martynovich,67,71
Evgeniy Shipitsin,67,67
Marat Izmaylov,73,73
Roman Shirokov,79,79
