NAME,OVR,POT
Anthony Favre,59,62
Abdelouahed Chahksi,53,57
Guillaume Katz,60,68
Jérôme Sonnerat,59,62
Mickaël Facchinetti,62,74
Sekou Junior Sanogo,63,72
Chris Malonga,65,72
Gabri,60,60
Malaury Martin,66,69
Michel Avanzini,58,65
Jocelyn Roux,61,66
Mathieu Debonnaire,56,62
Nicolas Marazzi,63,63
Sébastien Meoli,62,62
Salim Khelifi,58,73
Abraham Guie Guie,68,71
Matt Moussilou,63,63
Yanis Tafer,65,77
Ibrahim Tall,62,62
Janick Kamber,59,68
Kévin Tapoko,52,64
Numa Lavanchy,55,65
Bashkim Sukaj,60,68
Thomas Castella,50,66
Mehmed Begzadic,53,61
Antonio Signori,51,67
Adam Waidi,52,64
Fabio Mendouca,51,57
