NAME,OVR,POT
Kim Christensen,63,69
Allan Olesen,57,58
Michael A. Ribers,62,62
Anders Bjerring Kvist,57,62
Heath Pearce,60,70
Morten Karlsen,63,68
Thomas Andreasen,62,64
Thomas Kristensen,62,63
Thomas Lindrup,69,68
Danny Olsen,69,71
Morten Nordstrand,65,70
Anders Alding,62,66
Jesper Hansen,54,57
Jukka Santala,56,62
Simon Richter,53,66
Joseph Kamwendo,65,66
Søren Krogh,63,63
Bosun Ayeni,64,66
Henrik Eggerts,67,64
Kris Stadsgaard,53,62
Dennis Bo Mortensen,55,55
Stephan Petersen,57,67
Jonathan Richter,53,63
