NAME,OVR,POT
Marafona,66,66
Juan Delgado,69,69
Nuno Lima,67,79
Maracás,73,74
Antunes,73,73
Rui Pires,70,76
Luíz Carlos,71,71
Jordan Holsgrove,67,75
Nicolás Gaitán,72,72
ButzkeL,67,73
Nigel Thomas,66,77
Matchoi Djaló,69,82
Bastien TomaL,68,77
Fernando Fonseca,68,71
Flávio,67,69
Igor Vekič,65,71
Zé Uilton,69,69
Alexandre Garcia Guedes,65,65
Fábio,70,73
Tiago IloriL,67,68
Jorge Silva,67,69
Erick Ferigra,67,76
Arthur Sales,67,77
Paulo BernardoL,67,81
João Vigário,66,67
Pedro Ganchas,65,73
Tiago RibeiroL,64,76
N'Dri Philippe KoffiL,64,78
Luís Bastos,63,73
