NAME,OVR,POT
Soslan Dzhanaev,75,75
Timofey Kalachev,75,75
Miha Mevlja,73,75
César Navas,78,78
Vladimir Granat,73,73
Fedor Kudryashov,72,72
Alexandr Erokhin,74,75
Alexandru Gaţcan,75,75
Christian Noboa,80,80
Sardar Azmoun,77,85
Dmitriy Poloz,75,78
Marko Dević,76,76
Alexandr Bukharov,73,73
Khoren Bayramyan,68,71
Igor Kireev,66,69
Nikita Medvedev,65,74
Andrei Prepeliţă,69,69
Denis Terentyev,68,73
Marko Simić,68,68
Pavel Mogilevets,72,79
Anton Lazutkin,60,70
Nikolay Stankevich,59,65
Ivan Komissarov,56,58
Andrey Sidenko,59,65
Nikita Kovalev,55,65
Evgeniy Goshev,59,75
Danila Ermakov,54,65
