NAME,OVR,POT
Manuel Neuer,85,90
Tim Hoogland,73,76
Christoph Metzelder,78,85
Benedikt Höwedes,78,86
Lukas Schmitz,72,74
Jermaine Jones,78,83
Jefferson Farfán,81,85
Ivan Rakitić,78,84
Jurado,80,83
Klaas Jan Huntelaar,80,86
Raúl,78,89
Mathias Schober,70,75
Nicolas Plestan,73,75
Joel Matip,72,78
Alexander Baumjohann,74,78
Ciprian Deac,74,77
Junmin Hao,70,75
Erik Jendrisek,73,79
Atsuto Uchida,73,76
Sergio Escudero,69,79
Edu,73,77
Hans Sarpei,70,74
Kyriakos Papadopoulos,71,84
Peer Kluge,74,76
Christian Pander,75,80
Christoph Moritz,70,75
Levan Kenia,69,83
Vasilis Pliatsikas,69,77
Mario Gavranovic,66,75
Lars Unnerstall,60,64
Besart Ibraimi,62,73
Albert Streit,73,77
Bogdan Müller,63,73
Marvin Pourie,63,78
