NAME,OVR,POT
Josef Schicklgruber,69,79
Torsten Knabel,59,69
Tomasz Wisio,69,79
Michael Baur,78,87
Bozo Kovacevic,65,79
Helmut Riegler,62,72
Patrik Jezek,65,83
Alexander Hörtnagl,55,65
Roland Kirchler,65,75
Eduard Glieder,63,78
Christian Mayrleb,65,75
Michael Horvath,52,71
Andreas Saurer,59,69
Carlos Walter Chaile,56,83
Manuel Ortlechner,42,76
Albin Kajtezov,41,51
Thomas Flögel,65,79
Manfred Rothbauer,76,86
Thomas Pichlmann,48,58
Wolfgang Bubenik,52,62
Tolunay Kafkas,61,73
Michael Gspurning,50,65
Nino Bule,66,85
Mario Reiter,49,70
Michael Wojtanowicz,53,63
