NAME,OVR,POT
Alexandr Melikhov,55,72
Anton Miterev,58,68
Ante Puljić,70,71
Mark Karymov,60,75
Valeriu CiupercăL,66,71
Dmitry Sasin,62,71
Pavel Golyshev,69,69
Nikita Gvineyskiy,62,75
Artem Popov,63,66
Alexandr Sobolev,60,72
Alexey Pugin,65,65
Sergey Kuznetsov,65,65
Evgeniy Balyaykin,63,63
Anton Makurin,59,66
Dmitriy Osipov,61,73
Alexey Solosin,64,65
Daniil Bolshunov,59,70
Aleksandr Bukachev,57,68
Ruslan Salakhutdinov,57,66
Dmitry Bablyuk,58,75
Andrey Zorin,59,70
Egor Chernyshov,56,69
Nikita Zubchikhin,52,68
Alexandr Naumenko,59,74
Andrey Ogarev,59,71
Maxim Antukh,58,70
Maxim Rykov,60,71
Renat Fayzulin,56,67
Daniil Kuzmin,55,67
Konstantin Olifirenko,50,66
