NAME,OVR,POT
David Jensen,73,77
Giovanni Troupée,71,82
Ramon Leeuwin,71,71
Willem Janssen,73,73
Kevin Conboy,68,68
Wout Brama,72,72
Sofyan Amrabat,74,83
Yassin Ayoub,76,82
Zakaria Labyad,74,78
Gyrano Kerk,67,75
Sébastien Haller,77,82
Andreas Ludwig,67,68
Mark van der Maarel,69,69
Sean Klaiber,68,74
Robin van der Meer,68,76
Robbin Ruiter,73,73
Richairo ŽivkovićL,69,77
Nacer Barazite,74,75
Edson Braafheid,70,70
Darren Rosheuvel,64,70
Myenty Abena,63,69
Jeff Hardeveld,63,71
Tafari MooreL,63,75
Dani van der MootL,63,75
Nick Venema,62,76
Odysseus Velanas,62,75
Maarten Peijnenburg,61,70
Thijmen Nijhuis,58,71
Patrick Joosten,67,74
Rico Strieder,70,75
