NAME,OVR,POT
Szabolcs Sáfár,65,65
Thomas BergmannL,57,66
Marco Kofler,58,67
Martin Švejnoha,62,62
Alexander Hauser,60,64
Daniel Schütz,62,73
Tomáš Abrahám,67,67
Christopher Wernitznig,60,64
Peter Hackmair,62,66
Merino,66,66
Miran Burgič,65,68
Markus Egger,57,65
Marcel Schreter,61,61
Marco Köfler,57,63
Georg Harding,57,57
Dario Daković,57,61
Iñaki Bea,66,66
Thomas Löffler,57,61
Julius Perstaller,62,69
Andreas Fröschl,53,59
Bülent Kaan Bilgen,55,55
Muhammed IldizL,57,66
Mathias Perktold,57,63
Martin Siding,50,60
Konrad Gilewicz,52,67
Fabian Hafner,50,66
