NAME,OVR,POT
Anthony Favre,60,60
Alain Nef,64,64
Ivan Kecojević,63,63
Burim Kukeli,61,61
Philippe Koch,66,70
Gilles Yapi Yapo,74,74
Pape Sangoné Sarr,55,61
Vinícius,67,71
Alexandr Kerzhakov,77,77
Oliver Buff,65,71
Franck Etoundi,68,70
Moussa Koné,54,63
Davide Chiumiento,73,73
Cabral,65,66
Anto Grgic,54,69
Novem Baumann,53,65
Kevin Bua,60,68
Artem Simonyan,57,68
Marco Schönbächler,71,73
Leonardo Sánchez,67,67
Yanick Brecher,61,69
Cédric Brunner,59,69
Leandro Di Gregorio,58,64
Maxime Dominguez,55,66
Aldin Turkes,54,65
Armin Alesevic,52,57
Mike Kleiber,53,58
