NAME,OVR,POT
Fehmi Mert Günok,73,79
Gökhan Gönül,76,76
Bekir İrtegün,72,72
Michal Kadlec,72,72
Hasan Ali Kaldırım,70,75
Mehmet Topal,77,77
Emre Belözoğlu,77,77
Dirk Kuyt,77,77
Alper Potuk,76,82
Diego,80,80
Moussa Sow,79,79
Selçuk Şahin,70,70
Uygar Mert Zeybek,58,70
Caner Koca,54,74
Serdar Kesimal,67,73
Erten Ersu,58,68
Bruno Alves,78,78
Egemen Korkmaz,78,78
Raúl Meireles,76,76
Pierre Webó,75,75
Caner Erkin,75,81
Emmanuel Emenike,75,75
Volkan Demirel,80,80
Mehmet Topuz,72,72
Savaş Polat,53,74
Ramazan Civelek,56,71
Melih Okutan,55,72
