NAME,OVR,POT
Marco SportielloL,78,81
Vincent LauriniL,74,74
Germán PezzellaL,79,81
Davide Astori,81,81
Cristiano BiraghiL,75,77
Milan Badelj,79,79
Marco Benassi,77,82
Jordan Veretout,78,83
Federico Chiesa,77,86
Giovanni Simeone,78,85
Cyril Théréau,77,77
Valentin Eysseric,76,77
Diego FalcinelliL,74,75
Riccardo SaponaraL,78,80
Bryan Dabo,73,76
Bartłomiej Drągowski,71,82
Gil DiasL,76,82
Nikola Milenković,72,82
Bruno Gaspar,73,77
Vitor Hugo,76,78
Sebastián Cristóforo,74,78
Gabriele Gori,61,76
Maximiliano Olivera,70,73
Petko Hristov,61,77
Simone Lo FasoL,60,77
Marco Meli,58,78
Luca Ranieri,59,75
Michele Cerofolini,48,67
