NAME,OVR,POT
Chris Maxwell,54,64
Conor McLaughlin,55,64
Nathan Pond,57,57
Mark Roberts,63,63
Charlie Taylor,58,71
Steven Schumacher,62,62
Matty Blair,59,62
Josh Morris,60,67
Antoni Sarcevic,59,68
Iain Hume,65,65
David Ball,60,66
David Lucas,57,57
Stewart Murdoch,55,65
Gareth Evans,60,63
Jamille Matt,58,66
Bobby Grant,61,65
Stephen Jordan,61,61
Adam Barton,64,71
Jeff Hughes,64,64
Jon Parkin,61,61
Alex Marrow,60,67
Ryan Cresswell,59,61
Scott Davies,59,60
Alan Goodall,53,53
Liam Hogan,52,57
Josh Ollerenshaw,52,58
Matthew Hughes,48,58
Jake Parker,48,54
