NAME,OVR,POT
Andreas Linde,71,73
Sebastian Griesbeck,71,71
Damian Michalski,67,71
Oussama Haddadi,68,68
Simon Asta,68,77
Max Christiansen,70,73
Tobias Raschl,69,75
Marco JohnL,67,78
Branimir Hrgota,72,72
Ragnar AcheL,69,76
Armindo Sieb,65,79
Julian Green,68,68
Timothy Tillman,68,75
Luca Itter,68,73
Gideon Jung,67,68
Leon Schaffran,60,66
Dickson Abiama,67,74
Marco Meyerhöfer,71,72
Sidney Raebiger,62,84
Maximilian Dietz,57,70
Nils Seufert,67,70
Oualid Mhamdi,57,71
Lasse Schulz,56,71
Lucien Littbarski,59,74
Oliver Fobassam,61,74
Lukas PetkovL,67,77
Afimico Pululu,67,73
Robin Kehr,63,75
Devin Angleberger,55,69
Natanas Žebrauskas,55,66
