NAME,OVR,POT
Fernando Muslera,81,81
Mariano,79,79
Maicon,80,80
Jason DenayerL,74,81
Yuto NagatomoL,74,74
Fernando,79,79
Ryan Donk,73,73
Sofiane Feghouli,79,79
Garry Mendes Rodrigues,78,78
Younès Belhanda,81,81
Bafétimbi Gomis,80,80
Selçuk İnan,75,75
Tolga Ciğerci,75,78
Serdar Aziz,76,78
Martin Linnes,73,75
Cédric Carrasso,79,79
Eren Derdiyok,75,75
Yasin Öztekin,73,73
Ahmet Çalık,73,78
Iasmin Latovlevici,71,71
Sinan Gümüş,74,78
Tarık Çamdal,66,66
Gökay Güney,59,77
Koray Günter,71,77
Eray İşcan,62,65
Hakan Balta,73,73
Recep Gül,60,77
Atalay Babacan,61,76
Batuhan Şen,60,76
Celil Yüksel,57,66
