NAME,OVR,POT
Alessio Scarpi,76,91
Mohamed Gargo,76,85
Pimentel Thiago,76,91
Andrea Sottil,73,84
Nikola Lazetic,66,82
Giovanni Tedesco,71,91
Lucas Roberto Rimoldi,65,80
Vittorio Tosto,69,83
Francesco Cozza,74,91
Stephen Ayodele Makinwa,71,84
Diego Alberto Milito,71,91
Roberto Stellone,74,92
Cristian Stellini,69,86
Ezio Brevi,58,79
Ivano Della Morte,62,84
Massimo Gazzoli,79,85
Gianluca Lamacchi,51,80
Nicola Zanini,69,84
Guiseppe Gemiti,70,81
Francesco Baldini,66,76
Nicola Barasso,74,89
Rodrigue Boisfer,67,80
Nicola Caccia,66,76
Luca Cavallo,69,85
Antonio Nocerino,48,71
