NAME,OVR,POT
Johannes Hopf,75,75
Zeki Yavru,69,70
Ousmane N'Diaye,68,72
Syarhey Palitsevich,73,73
Florentin Pogba,76,77
Uğur Çiftçi,68,71
Jaílton Paraíba,66,66
Stéphane Sessègnon,77,77
Abdul Khalili,71,74
Aydın Karabulut,70,70
Petar Škuletić,71,71
Diallo Guidileye,70,71
Marko Milinković,68,68
Ahmet Oğuz,73,77
Alper Uludağ,67,68
Numan Bostan Soysal,63,80
Deniz Yılmaz,70,70
Elvis Manu,69,73
Ahmet İlhan Özek,71,71
Mehmet Taş,66,69
Aleksandar Šćekić,68,70
Kamal Issah,67,71
Serdar Özkan,68,68
Murat Duruer,67,67
Halil İbrahim Pehlivan,67,71
Yıldırım Mert Çetin,60,70
Taha Cengiz Demirtaş,58,65
Rahmetullah Berişbek,57,73
İlker Karakaş,57,70
