NAME,OVR,POT
Oscar Ustari,75,86
Miguel Torres,75,83
Daniel Díaz,79,86
Rafa,77,80
Mané,76,79
Derek Boateng,77,81
Dani Parejo,76,80
Borja,75,80
Arizmendi,75,81
Adrián Colunga,76,81
Gavilán,77,84
Codina,76,79
Mario,74,79
Casquero,74,79
Pedro Ríos,71,74
Manu Del Moral,76,83
Victor Sanchez,70,74
Miku,73,78
Juan Ángel Albín,77,82
Mosquera,67,76
Ibrahim Kaş,69,77
Pablo Pintos,72,85
Marcano,73,78
Gonzalo,60,63
Carlos Rodríguez,60,66
Ferrer,59,64
Arroyo,59,69
Samu,59,66
Pico,59,69
Escassi,62,73
Tello,63,69
Adrián Sardinero,62,71
Álex Pérez,57,71
Gorka,59,69
Bedoya,60,68
