NAME,OVR,POT
Stuart Nelson,64,64
Matt Fish,62,70
Leon Legge,62,64
Adam Barrett,64,64
Joe Martin,61,69
Andrew Frampton,61,61
Charlie Allen,60,67
Steven Gregory,60,64
Chris Whelpdale,62,70
Danny Kedwell,61,61
Deon Burton,63,63
Tommy Forecast,46,51
Callum Davies,58,73
Charlie Lee,60,66
Bradley Dack,58,74
Myles Weston,63,66
Samuel Muggleton,52,65
Adam Birchall,58,58
Danny East,57,65
Devante McKain,56,65
Mahlon Romeo,51,68
Jake Hessenthaler,50,55
Nathan Nyafli,56,65
Kane Haysman,53,64
Joe Carter,51,63
Harry Grant,50,58
Joshua Hare,56,70
Michael Freiter,50,65
