NAME,OVR,POT
Riesgo,73,73
Pablo MaffeoL,74,81
Alcalá,72,72
Juanpe,72,72
Johan Mojica,74,75
Gumbau,69,75
Granell,74,74
Aday Benítez,72,72
Brandon ThomasL,71,76
Borja García,74,74
Cristhian Stuani,79,79
JozabedL,73,73
Álex Gallar,71,71
Pape Maly Diamanka,69,69
Ignasi MiquelL,71,72
Juan Carlos,72,72
Jonatan Soriano,74,74
Jairo,68,69
Ramalho,73,76
Samu Sáiz,72,72
Jordi CalaveraL,69,75
Brian OlivánL,70,73
Valery,67,79
Christian RiveraL,67,76
Santiago Bueno,65,78
Joaquín Zeballos,63,72
Carlos Martínez,63,72
Pau Resta,62,76
José Suárez,66,73
