NAME,OVR,POT
Stephan Andersen,71,71
Doke Schmidt,64,70
Bart Vriends,64,68
Jop van der Linden,65,68
Ridgeciano Haps,62,70
Sjoerd Overgoor,64,66
Deniz Türüç,67,74
Erik Falkenburg,69,71
Jarchinio Antonia,68,72
Marnix Kolder,65,65
Xander Houtkoop,66,72
Erik Cummins,63,68
Mawouna Amevor,62,67
Xandro Schenk,63,68
Lars Lambooij,60,63
Jeffrey Rijsdijk,63,67
Thomas Azevedo,65,71
Joey Godée,62,65
Patrick ter Mate,60,65
Tom Oostinjen,58,65
Michel Gerritsen Mulkes,58,65
Ruben Lucas,57,64
Joost Krijns,57,64
Teije ten Den,56,65
Kevin Spanjaard,56,64
Joran Pot,56,59
Omar Kavak,56,59
