NAME,OVR,POT
Roberto,71,71
Allan-Roméo Nyom,75,78
Jean-Sylvain Babin,71,74
Jeison Murillo,76,82
Emanuel Insúa,71,77
Rubén Pérez,74,79
Manuel Iturra,75,75
Rochina,72,78
Lassane Bangoura,75,78
Piti,76,76
Youssef El Arabi,74,74
Candeias,74,78
Javi Márquez,72,72
Mainz,70,70
Juan Carlos,70,74
Oier,70,76
Jhon Córdoba,71,79
Fran Rico,73,77
Adrián Colunga,71,71
Juan Cala,71,74
Robert,69,76
Dimitri Foulquier,70,79
Isaac Success,60,70
Luís Martins,68,75
Riki,72,72
Eddy,67,77
Sulayman Marreh,58,67
Darwin Machís,63,67
Uche Agbo,59,69
Djalo,55,62
Fran Morante,59,65
Christian Bravo,64,73
Stole Dimitrievski,62,72
