NAME,OVR,POT
Roman BürkiL,64,74
Paulo Menezes,63,63
Michael Lang,61,68
Boris Smiljanic,64,64
Bruno Bertucci,62,66
Nzuzi Toko,67,82
Johann Vogel,65,65
Frank Feltscher,61,69
Daniel de Ridder,68,73
Steven Zuber,67,81
Orhan Mustafi,62,65
Davide Taini,57,57
Endogan Adili,57,69
Taulant XhakaL,62,70
Ricardo Cabanas,61,61
Gianluca Hossmann,57,69
Davide Callà,60,65
Izet Hajrovic,59,75
Moritz Bauer,54,61
Marco Kehl-Gomez,62,64
Remo Freuler,58,68
Amir Abrashi,56,67
Mergim Brahimi,55,65
Alessandro Merlo,52,59
Davor Landeka,58,61
Iacopo La Rocca,56,65
Imran Bunjaku,55,65
Denis Simijonovic,54,62
