NAME,OVR,POT
Andrea Pinzan,66,68
Duccio Innocenti,67,69
Giovanni Di Meglio,53,56
Michele Mignani,71,74
Agostino Garofalo,58,60
Andrea Gessa,65,64
Carl Valeri,56,72
Luigi Consonni,44,54
Enrico Maria Amore,49,56
Paulinho,71,76
Giovanni Cipolla,56,61
Natale Gonnella,65,66
Walter Bressan,47,51
Lorenzo Dal Rio,57,71
Emilio Dierna,39,45
Matteo Fasciani,42,48
Marco Carparelli,64,65
Giuseppe Abruzzese,62,68
Tonino Sorrentino,64,66
Alessandro Moro,64,64
Pablo Pallante,52,61
Andrea Lazzari,68,68
Salvatore Carboni,47,58
