NAME,OVR,POT
Mustafa Malaika,57,58
Hussein Shuwaish,56,59
Hassen Al Sandal,57,57
Abdallatif Albahdari,64,64
Jafar Al Khalifa,54,61
Abdullah Buhumail,57,59
Abdoh Hakami,58,58
Hossain Al Nagai,59,59
Jehad Al Zoaed,52,58
Faisal Al Jamaan,55,56
Khalid Rejaib,59,59
Mansour Al Naji,57,57
Ahmed Bakri,62,62
Majed Al Qahtani,56,66
Waleed Al Rajaa,55,55
Ayman,61,61
Tawfiq Buhumaid,63,65
Mohammed Al Shahrani,55,55
Saad Al Yami,62,62
Faisal Al Dosari,56,57
Bandar Al Anzi,56,58
Hussain Rabie,54,60
Ahmed Al Nazera,53,56
Mohammed Al Enzi,50,54
Radhi Alradhi,49,54
Oussou Konan,66,70
Mohamed Al Khmis,62,64
Mustafa Al Abbad,54,58
