NAME,OVR,POT
Felix GebhardtL,64,75
Niklas Kreuzer,67,67
Jannes Vollert,63,68
Sören Reddemann,63,67
Nico Hug,63,69
Aljaž Casar,63,72
Aaron Herzog,63,68
Leon Damer,64,73
Tom Zimmerschied,64,70
Timur Gayret,62,67
Jonas Nietfeld,65,66
Louis Samson,63,64
Tunay Deniz,63,63
Niklas Landgraf,64,66
Lucas Halangk,60,74
Daniel Mesenhöler,63,64
Dominik Steczyk,62,68
Sebastian MüllerL,62,70
Seymour Fünger,60,70
Luca Bendel,57,69
Timm Koch,52,64
Toni Lindenhahn,63,63
Elias Löder,61,70
Tom Bierschenk,59,70
Erich Berko,66,66
Andor Bolyki,63,63
Alexander Winkler,65,65
Nik Omladič,66,66
